t,dobrushin,row_hetero,RV_t,VIX_t
1262,0.037741248961538,0.0096108791358794,0.0003062751560376,24.34
1263,0.0302671575918793,0.007599658046156,0.0003078624043538,23.24
1264,0.0365548422560095,0.0092913638361375,0.0003422582254292,21.58
1265,0.0400982424616813,0.0103149695911441,0.0003379798286379,21.32
1266,0.0371006829664111,0.0094890691427771,0.0003540601893618,21.91
1267,0.0385402902029454,0.0099007018568991,0.0002614370212617,23.19
1268,0.0339281004853546,0.0086354137012603,0.0002231888561395,23.02
1269,0.0377270365133881,0.0097045121814817,0.000224670533637,37.21
1270,0.0339529118500649,0.008660486648455,0.0002149798081907,30.21
1271,0.0343908001668751,0.0087730335479332,0.0002034110081434,33.09
1272,0.0340810921043157,0.0086927645265905,0.0002133554125116,30.24
1273,0.0379555886611342,0.0097922995009205,0.0002390880208236,25.56
1274,0.0381936375051736,0.0098665938671891,0.000219780247045,22.91
1275,0.0342785641551017,0.0087694815758251,0.0002175195364099,21.77
1276,0.0344062643125653,0.0088091248872153,0.0002094422000953,20.87
1277,0.0365667892619967,0.0094269802662158,0.0002022058622438,21.24
1278,0.0349877825938165,0.0089963707226243,0.0001939974690455,21.63
1279,0.0327883972786366,0.0083598662117615,0.0001822462619125,21.99
1280,0.0352419167757034,0.0090675816642314,0.0001972158452724,21.25
1281,0.0260769580490887,0.006578822153611,0.0001912463966463,19.97
1282,0.0225740382447838,0.0056667444481191,0.0001978759486929,21.46
1283,0.0363752832636237,0.0093610989061569,0.0001866283751774,21.5
1284,0.0305414190515875,0.0077596870680599,0.0001933801088364,22.49
1285,0.0356364506296813,0.0091749911105592,0.0001896228457575,22.05
1286,0.0248057222925126,0.0062443447352609,0.0001884260606907,23.45
1287,0.0300186779350042,0.0075942548982773,0.0001757317869264,23.11
1288,0.0330953542143106,0.0084375578402118,0.0001804743066593,21.34
1289,0.0282488125376403,0.0071437635411969,0.0001889252278621,28.89
1290,0.0358092803508043,0.0092280892736783,0.0001900918680401,27.95
1291,0.030421667266637,0.0077544022445576,0.0001912934187573,23.35
1292,0.0339295594021678,0.008721362901632,0.0001933333862462,24.1
1293,0.0301505303941667,0.0076814388956636,0.0002026789872732,26.67
1294,0.028167825192213,0.0071463292659031,0.0001841583975071,28.57
1295,0.0333175780251622,0.0085297819013748,0.0001923003257781,24.66
1296,0.0316114430315792,0.0080252007371197,0.0002113329599043,25.47
1297,0.0161364669911563,0.0039498914719907,0.0002426482400464,24.03
1298,0.0219517648220062,0.0055115053919379,0.0002443933151257,22.56
1299,0.0273097143508493,0.0068879694273375,0.0002441832676363,21.91
1300,0.0334817441180348,0.0085604435052434,0.0002369161612972,20.69
1301,0.0336975329555571,0.0086115002237034,0.0002397202098903,20.03
1302,0.0339157986454665,0.0086845732416317,0.0002148663757323,19.79
1303,0.0254809977486729,0.0064298306300182,0.0001979468050829,19.23
1304,0.0339880562387406,0.0087276019344125,0.0002092324748132,21.58
1305,0.0260212090797722,0.0065693178907137,0.0001958205415799,20.95
1306,0.0186613933183252,0.0050247691653242,0.0001830023172591,18.88
1307,0.0186918741092085,0.00505893682114,0.0001859734460961,20.3
1308,0.0190824121236801,0.0051535160070667,0.0001893068898455,21.2
1309,0.0182543373666703,0.0049434646675582,0.0001861311748172,19.81
1310,0.0183635177090764,0.0050139933335359,0.0001664058660269,18.86
1311,0.0178890656679868,0.0049173252418737,0.0001651085055888,20.74
1312,0.0184047212824225,0.0050200277136682,0.0001652208383645,19.61
1313,0.0195158636197447,0.0052231215787204,0.0001802354216464,19.4
1314,0.0203079720959067,0.0053692433399835,0.0001764943254658,17.33
1315,0.0189718790352344,0.0050907485099252,0.0001738397219704,17.91
1316,0.0183012946508824,0.0049868632647324,0.0001591163188659,18.12
1317,0.018772539217025,0.0050998795564327,0.000169956787344,17.16
1318,0.0202225497923791,0.0053804048584767,0.0001406766589081,16.95
1319,0.0185583569109439,0.0050540701388961,0.0001574787527146,16.69
1320,0.0204157386906445,0.005410919695942,0.0001731441047055,16.91
1321,0.0183576946146786,0.0049989766714097,0.0001649276177158,16.65
1322,0.0185122280381619,0.0050565403845374,0.0001511101867668,16.99
1323,0.0186212668195366,0.0050588524985042,0.0001424495521188,16.57
1324,0.0179704627953469,0.0049698532355152,0.0001543200055149,16.25
1325,0.0177045813761651,0.0048738074090695,0.0001474244300164,17.29
1326,0.0189417884685099,0.0051369046986805,0.0001434566020375,18.68
1327,0.0186128201894462,0.0050662531163104,0.0001525575785209,17.5
1328,0.0178829682990908,0.0049122893543104,0.0001564251682066,18.71
1329,0.0173983494751155,0.0048429499982357,0.0001636376302407,17.33
1330,0.0172794384416192,0.0047734562392261,0.0001637374342458,17.64
1331,0.017909852322191,0.0049088329064223,0.0001622659814759,17.56
1332,0.0179250971414148,0.0049084582814463,0.0001776227092111,17.28
1333,0.0192152997478842,0.0051682173609984,0.0001723736517958,17.61
1334,0.0186875541694462,0.0050629600035873,0.0001783632941198,18.61
1335,0.0173427807167172,0.0047545246817547,0.0001852594783596,18.31
1336,0.0169463376514613,0.0047007191201878,0.0001845303451295,19.48
1337,0.0170572465285658,0.0047705054916566,0.0001967728652285,19.15
1338,0.0183575516566634,0.0050186596472154,0.0001702778350028,18.39
1339,0.0184109876863658,0.0050152170061061,0.0001703734394522,16.69
1340,0.0177582893520593,0.0049037262728368,0.0001416797986712,19.66
1341,0.017047893255949,0.0047496427521611,0.0001309456891244,21.84
1342,0.0170200690627098,0.0047665977035257,0.0001408711779101,27.59
1343,0.0182278929278254,0.0049894157458435,0.0001414238486494,23.13
1344,0.0177320316433906,0.0048790737472298,0.0001482589482107,18.81
1345,0.017144831828773,0.0047317513286666,0.0001359061759185,19.72
1346,0.0173301175236701,0.0048200527130804,0.0001315709247541,21.34
1347,0.0167850451543927,0.0046699433828945,0.0001300125407692,22.18
1348,0.0170877771452069,0.004770424521155,0.000125144285454,20.67
1349,0.0173556902445852,0.0048035504735429,0.0001200680759302,20.15
1350,0.0169185623526573,0.0047379770614081,0.0001061084713066,18.4
1351,0.0171218649484217,0.0047929043696584,0.0001072981385275,18.84
1352,0.0173942623659968,0.0048413116723198,0.0001161476201863,17.36
1353,0.0182200013659894,0.0049957626577629,0.0001144206132401,16.74
1354,0.0184957957826554,0.0050540453826488,0.0001116120217813,16.76
1355,0.0179592096246778,0.0049281220243434,9.244981474785072e-05,17.9
1356,0.019541235640645,0.0052251485976004,8.616501179721876e-05,17.48
1357,0.0200427277013659,0.0053051605933543,8.857800679534016e-05,18.04
