n_bins,n_st,method,model,alpha,tau,val_LL,delta_val
55,55,original_fixed,backoff,1.0,200.0,-3.6951239905387308,-0.012915823187084285
55,55,original_fixed,backoff,1.0,500.0,-3.6866335664626924,-0.004425399111045891
55,55,original_fixed,backoff,1.0,1000.0,-3.6841797427771357,-0.0019715754254892026
55,55,original_fixed,backoff,5.0,10.0,-3.8682381941666955,-0.186030026815049
55,55,original_fixed,backoff,5.0,50.0,-3.7719218432376858,-0.08971367588603929
55,55,original_fixed,backoff,5.0,100.0,-3.7351938380572487,-0.05298567070560223
55,55,original_fixed,backoff,5.0,200.0,-3.710252558631294,-0.02804439127964775
55,55,original_fixed,backoff,5.0,500.0,-3.6931153489185498,-0.01090718156690329
55,55,original_fixed,backoff,5.0,1000.0,-3.687396381044476,-0.005188213692829624
55,55,original_fixed,backoff,10.0,10.0,-3.8895168169575394,-0.2073086496058929
55,55,original_fixed,backoff,10.0,50.0,-3.7830754859774407,-0.10086731862579423
55,55,original_fixed,backoff,10.0,100.0,-3.7420855287260326,-0.05987736137438615
55,55,original_fixed,backoff,10.0,200.0,-3.714062865563999,-0.03185469821235243
55,55,original_fixed,backoff,10.0,500.0,-3.69465845600204,-0.01245028865039366
55,55,original_fixed,backoff,10.0,1000.0,-3.6881388577620666,-0.0059306904104201585
